name,power,energy,category,attribute,effect,learned_by_pets
突袭,70,2,魔攻,普通,造成魔伤，应对状态：本次技能威力变为3倍。,"[{""name"": ""水灵""}, {""name"": ""圣水守护""}, {""name"": ""水泡壳（本来的样子）""}, {""name"": ""水泡壳（蜕皮时的样子）""}, {""name"": ""蹦床松鼠""}, {""name"": ""彩蝶鲨""}, {""name"": ""神谕鲨""}, {""name"": ""白金独角兽""}, {""name"": ""彩虹独角兽""}, {""name"": ""怖哭菇""}, {""name"": ""电企鹅""}, {""name"": ""獠牙猪""}, {""name"": ""卡洛儿""}, {""name"": ""流浪鼠""}, {""name"": ""伊兰亚龙""}, {""name"": ""伊兰龙""}, {""name"": ""海枝枝（碧蓝珊瑚）""}, {""name"": ""海枝枝（杏黄百合）""}, {""name"": ""海枝枝（洋红沙丁）""}, {""name"": ""海枝枝（翠绿纶布）""}, {""name"": ""深蓝鲸""}, {""name"": ""格兰球""}, {""name"": ""画间法师手""}, {""name"": ""画间沉铁兽""}, {""name"": ""古卷执政官""}, {""name"": ""古卷匣魔像""}, {""name"": ""抹茶布丁""}, {""name"": ""椰浆布丁""}, {""name"": ""熔岩布丁""}, {""name"": ""夜枭""}, {""name"": ""雅丹鬃""}]"
连续爪击,30,2,物攻,普通,造成物伤，2连击，应对状态：本次技能连击数翻倍。,"[{""name"": ""卷胡巨獭""}, {""name"": ""卡瓦重（草地附近的样子）""}, {""name"": ""卡瓦重（沙地附近的样子）""}, {""name"": ""卡瓦重（雪山附近的样子）""}, {""name"": ""巨噬针鼹""}, {""name"": ""蒲公英娃娃""}, {""name"": ""伊贝粉粉""}, {""name"": ""瞌睡王""}, {""name"": ""咔咔鸟""}, {""name"": ""魔眷鸟""}, {""name"": ""影狸""}, {""name"": ""圣羽翼王""}, {""name"": ""皇家狮鹫（崖间地的样子）""}, {""name"": ""皇家狮鹫（高山地的样子）""}, {""name"": ""芋香巨角蛛""}, {""name"": ""卷毛鸭""}, {""name"": ""棋骑士（白子）""}, {""name"": ""棋骑士（黑子）""}, {""name"": ""棋齐垒（白子）""}, {""name"": ""棋齐垒（黑子）""}, {""name"": ""棋契陛下""}, {""name"": ""寒音蛇（本来的样子）""}, {""name"": ""烈火守护""}, {""name"": ""波多西""}, {""name"": ""爵士鹿""}, {""name"": ""波普鹿""}, {""name"": ""声波缇塔""}, {""name"": ""火焰猿""}, {""name"": ""冰钻布鲁斯""}, {""name"": ""乌拉塔（极昼的样子）""}, {""name"": ""乌拉塔（极夜的样子）""}, {""name"": ""帕帕斯卡""}, {""name"": ""遁地鼠（枯水期的样子）""}, {""name"": ""遁地鼠（储水期的样子）""}, {""name"": ""泥吼牙""}, {""name"": ""厉毒修萝""}, {""name"": ""龙息帕尔""}, {""name"": ""画间沉铁兽""}, {""name"": ""古卷执政官""}, {""name"": ""古卷匣魔像""}, {""name"": ""疾光千兽""}, {""name"": ""窃光蚊""}]"
追打,75,3,魔攻,普通,造成魔伤，1连击，应对状态：本技能变为3连击。,"[{""name"": ""蹦床松鼠""}, {""name"": ""蒲公英娃娃""}, {""name"": ""菊花梨""}, {""name"": ""星光狮（星光能量的样子）""}, {""name"": ""花魁蜂后""}, {""name"": ""女王蜂""}, {""name"": ""记忆石""}, {""name"": ""咔咔鸟""}, {""name"": ""彩蝶鲨""}, {""name"": ""神谕鲨""}, {""name"": ""白金独角兽""}, {""name"": ""彩虹独角兽""}, {""name"": ""风滚暮虫（金黄的样子）""}, {""name"": ""风滚暮虫（枯叶的样子）""}, {""name"": ""嗜波螺""}, {""name"": ""嗜波螺（被污染的样子）""}, {""name"": ""酷拉""}, {""name"": ""寒音蛇（本来的样子）""}, {""name"": ""海枝枝（碧蓝珊瑚）""}, {""name"": ""海枝枝（杏黄百合）""}, {""name"": ""海枝枝（洋红沙丁）""}, {""name"": ""海枝枝（翠绿纶布）""}, {""name"": ""龙鱼""}, {""name"": ""闪电鳗鱼""}, {""name"": ""格兰球""}, {""name"": ""圣剑-X""}, {""name"": ""圣剑骑士""}, {""name"": ""画间法师手""}, {""name"": ""陨星虫""}, {""name"": ""雅丹鬃""}, {""name"": ""暮星辰""}]"
旋转突击,35,3,物攻,普通,造成物伤，3连击。,"[{""name"": ""鸭吉吉（蓬松的样子）""}, {""name"": ""鸭吉吉（急急急鸭）""}, {""name"": ""鸭吉吉（燃了鸭）""}, {""name"": ""鸭吉吉国王""}, {""name"": ""蹦床松鼠""}, {""name"": ""咔咔鸟""}, {""name"": ""古啦多""}, {""name"": ""雪灵""}, {""name"": ""寒音蛇（本来的样子）""}, {""name"": ""烈火守护""}, {""name"": ""圣代甜甜""}, {""name"": ""圣代甜甜（樱桃草莓口味）""}, {""name"": ""圣代甜甜（樱桃抹茶口味）""}, {""name"": ""圣代甜甜（蓝莓巧克力口味）""}, {""name"": ""圣代甜甜（蓝莓草莓口味）""}, {""name"": ""圣代甜甜（蓝莓抹茶口味）""}, {""name"": ""圣代甜甜（杨桃巧克力口味）""}, {""name"": ""圣代甜甜（杨桃草莓口味）""}, {""name"": ""圣代甜甜（杨桃抹茶口味）""}, {""name"": ""裘卡""}]"
偷袭,85,3,物攻,普通,造成物伤，应对状态：本次技能威力变为3倍。,"[{""name"": ""岚鸟（本来的样子）""}, {""name"": ""岚鸟（春天的样子）""}, {""name"": ""岚鸟（夏天的样子）""}, {""name"": ""岚鸟（秋天的样子）""}, {""name"": ""霜翼领主""}, {""name"": ""布克棱岩""}, {""name"": ""迷嶂布莱克""}, {""name"": ""叮叮恶魔""}, {""name"": ""晶石蜗（西瓜碧玺的样子）""}, {""name"": ""晶石蜗（莲花刚玉的样子）""}, {""name"": ""晶石蜗（星彩榴石的样子）""}, {""name"": ""晶石蜗（火山琉璃的样子）""}, {""name"": ""晶石蜗（蓝锥矿的样子）""}, {""name"": ""晶石蜗（烧蓝黄金的样子）""}, {""name"": ""钻石蜗""}, {""name"": ""卡瓦重（草地附近的样子）""}, {""name"": ""音速犬""}, {""name"": ""风暴战犬""}, {""name"": ""巨噬针鼹""}, {""name"": ""电球咩咩""}, {""name"": ""瞌睡王""}, {""name"": ""记忆石""}, {""name"": ""恶魔狼""}, {""name"": ""恶魔狼王""}, {""name"": ""雪巨人""}, {""name"": ""针叶巡林""}, {""name"": ""怒目怂猫""}, {""name"": ""皇家狮鹫（崖间地的样子）""}, {""name"": ""皇家狮鹫（高山地的样子）""}, {""name"": ""卷毛鸭""}, {""name"": ""荆棘电环""}, {""name"": ""迷迷箱怪""}, {""name"": ""恶魔红钻""}, {""name"": ""烈火守护""}, {""name"": ""翼龙""}, {""name"": ""爵士鹿""}, {""name"": ""波普鹿""}, {""name"": ""声波缇塔""}, {""name"": ""火焰猿""}, {""name"": ""冰钻布鲁斯""}, {""name"": ""帕帕斯卡""}, {""name"": ""遁地鼠（枯水期的样子）""}, {""name"": ""秩序鱿墨""}, {""name"": ""圣剑-X""}, {""name"": ""圣剑骑士""}, {""name"": ""寂灭骨龙""}, {""name"": ""厉毒修萝""}, {""name"": ""疾光千兽""}, {""name"": ""月牙雪熊""}, {""name"": ""上岸蛙""}]"
乱打,25,4,魔攻,普通,造成魔伤，5连击。,"[{""name"": ""黑猫巫师""}, {""name"": ""黑猫密探""}, {""name"": ""炽心勇狮""}, {""name"": ""海豹船长""}, {""name"": ""琉璃水母""}]"
乘胜追击,40,2,物攻,普通,造成物伤，1连击，每次使用后，本技能连击数永久+1。,"[{""name"": ""叮叮恶魔""}, {""name"": ""巨噬针鼹""}, {""name"": ""星光狮（星光能量的样子）""}, {""name"": ""星光狮（月光能量的样子）""}, {""name"": ""锤头鹳""}, {""name"": ""咔咔鸟""}, {""name"": ""圣羽翼王""}, {""name"": ""皇家狮鹫（崖间地的样子）""}, {""name"": ""皇家狮鹫（高山地的样子）""}, {""name"": ""酷拉""}, {""name"": ""翼龙""}, {""name"": ""陨星虫""}, {""name"": ""上岸蛙""}]"
阻断,80,2,魔攻,普通,造成魔伤，应对状态：额外打断被应对技能。,"[{""name"": ""火神""}, {""name"": ""烈火战神""}, {""name"": ""卷胡巨獭""}, {""name"": ""梦悠悠（穿旧睡衣的样子）""}, {""name"": ""巨噬针鼹""}, {""name"": ""菊花梨""}, {""name"": ""星光狮（星光能量的样子）""}, {""name"": ""星光狮（月光能量的样子）""}, {""name"": ""魔眷鸟""}, {""name"": ""白金独角兽""}, {""name"": ""彩虹独角兽""}, {""name"": ""风滚暮虫（金黄的样子）""}, {""name"": ""风滚暮虫（枯叶的样子）""}, {""name"": ""电企鹅""}, {""name"": ""圣羽翼王""}, {""name"": ""炽心勇狮""}, {""name"": ""斑枭""}, {""name"": ""伊兰亚龙""}, {""name"": ""伊兰龙""}, {""name"": ""酷拉""}, {""name"": ""荆棘电环""}, {""name"": ""声波缇塔""}, {""name"": ""圣代甜甜""}, {""name"": ""圣代甜甜（樱桃草莓口味）""}, {""name"": ""圣代甜甜（樱桃抹茶口味）""}, {""name"": ""圣代甜甜（蓝莓巧克力口味）""}, {""name"": ""圣代甜甜（蓝莓草莓口味）""}, {""name"": ""圣代甜甜（蓝莓抹茶口味）""}, {""name"": ""圣代甜甜（杨桃巧克力口味）""}, {""name"": ""圣代甜甜（杨桃草莓口味）""}, {""name"": ""圣代甜甜（杨桃抹茶口味）""}, {""name"": ""裘卡""}, {""name"": ""帕帕斯卡""}, {""name"": ""噼啪鸟""}, {""name"": ""格兰球""}, {""name"": ""抹茶布丁""}, {""name"": ""椰浆布丁""}, {""name"": ""熔岩布丁""}, {""name"": ""利灯鱼""}, {""name"": ""窃光蚊""}, {""name"": ""夜枭""}, {""name"": ""暮星辰""}]"
穿膛,65,2,物攻,普通,造成物伤，若敌方能量小于等于2，造成5倍伤害。,"[{""name"": ""幻影灵菇""}, {""name"": ""幽影树""}, {""name"": ""幻影荆棘""}, {""name"": ""幽冥眼（睁眼的样子）""}, {""name"": ""幽冥眼（闭眼的样子）""}, {""name"": ""巨灵石""}, {""name"": ""高脚鹬""}, {""name"": ""寂灭骨龙""}]"
重击,110,2,物攻,普通,造成物伤，每次使用后，本技能能耗永久+1。,"[{""name"": ""魔力猫""}, {""name"": ""叶冕魔力猫""}, {""name"": ""菊花梨""}, {""name"": ""权杖-Ⅴ""}, {""name"": ""怒目怂猫""}, {""name"": ""波多西""}, {""name"": ""利灯鱼""}, {""name"": ""春花兔""}]"
魔能爆,1,0,魔攻,普通,造成魔伤，使用时消耗所有能量，消耗越高，伤害越高。,"[{""name"": ""水灵""}, {""name"": ""圣水守护""}, {""name"": ""鸭吉吉（紧实的样子）""}, {""name"": ""鸭吉吉（等一等鸭）""}, {""name"": ""鸭吉吉（起来鸭）""}, {""name"": ""水泡壳（本来的样子）""}, {""name"": ""水泡壳（蜕皮时的样子）""}, {""name"": ""卷胡巨獭""}, {""name"": ""电球咩咩""}, {""name"": ""巨灵石""}, {""name"": ""风滚暮虫（金黄的样子）""}, {""name"": ""风滚暮虫（枯叶的样子）""}, {""name"": ""黑猫巫师""}, {""name"": ""黑猫密探""}, {""name"": ""炽心勇狮""}, {""name"": ""九幽菇""}, {""name"": ""荆棘电环""}, {""name"": ""里拉鳐""}, {""name"": ""深蓝鲸""}, {""name"": ""遁地鼠（枯水期的样子）""}, {""name"": ""遁地鼠（储水期的样子）""}, {""name"": ""画间法师手""}, {""name"": ""画间沉铁兽""}, {""name"": ""古卷执政官""}, {""name"": ""古卷匣魔像""}, {""name"": ""抹茶布丁""}, {""name"": ""椰浆布丁""}, {""name"": ""熔岩布丁""}]"
垂死反击,80,4,物攻,普通,造成物伤，自己每失去5%生命，本次技能威力+5。,"[{""name"": ""卡瓦重（草地附近的样子）""}, {""name"": ""卡瓦重（沙地附近的样子）""}, {""name"": ""卡瓦重（雪山附近的样子）""}, {""name"": ""瞌睡王""}, {""name"": ""九幽菇""}, {""name"": ""海豹船长""}, {""name"": ""古卷执政官""}, {""name"": ""古卷匣魔像""}]"
能量刃,80,3,物攻,普通,造成物伤，每应对成功1次，本技能威力永久+90。,"[{""name"": ""瞌睡王""}, {""name"": ""针叶巡林""}, {""name"": ""帕帕斯卡""}, {""name"": ""混乱鱿彩""}, {""name"": ""秩序鱿墨""}, {""name"": ""画间法师手""}, {""name"": ""画间沉铁兽""}, {""name"": ""古卷执政官""}, {""name"": ""古卷匣魔像""}]"
气势一击,80,3,物攻,普通,造成物伤，若上回合应对成功，本次技能威力+180。,"[{""name"": ""蹦床松鼠""}, {""name"": ""乌拉塔（极昼的样子）""}, {""name"": ""乌拉塔（极夜的样子）""}, {""name"": ""混乱鱿彩""}, {""name"": ""秩序鱿墨""}, {""name"": ""铠甲虫""}]"
吞噬,150,6,物攻,普通,造成物伤，若使用本技能击败敌方，回复6能量。,"[{""name"": ""卷胡巨獭""}, {""name"": ""音速犬""}, {""name"": ""风暴战犬""}, {""name"": ""巨噬针鼹""}, {""name"": ""蒲公英娃娃""}, {""name"": ""瞌睡王""}, {""name"": ""恶魔狼""}, {""name"": ""恶魔狼王""}, {""name"": ""公平鸽""}, {""name"": ""龙鱼""}, {""name"": ""混乱鱿彩""}, {""name"": ""秩序鱿墨""}, {""name"": ""画间法师手""}, {""name"": ""画间沉铁兽""}, {""name"": ""古卷执政官""}, {""name"": ""古卷匣魔像""}]"
蓄能轰击,130,6,魔攻,普通,造成魔伤，每使用1次普通系技能，本技能能耗永久-2。,"[{""name"": ""鸭吉吉（紧实的样子）""}, {""name"": ""鸭吉吉（等一等鸭）""}, {""name"": ""鸭吉吉（起来鸭）""}, {""name"": ""蹦床松鼠""}, {""name"": ""公平鸽""}, {""name"": ""鳗尾兽""}, {""name"": ""古卷执政官""}, {""name"": ""古卷匣魔像""}]"
力量增效,0,1,状态,普通,自己获得物攻+100%。,"[{""name"": ""迪莫""}, {""name"": ""火神""}, {""name"": ""烈火战神""}, {""name"": ""鸭吉吉（蓬松的样子）""}, {""name"": ""鸭吉吉（急急急鸭）""}, {""name"": ""鸭吉吉（燃了鸭）""}, {""name"": ""鸭吉吉国王""}, {""name"": ""花影羚羊""}, {""name"": ""岚鸟（本来的样子）""}, {""name"": ""岚鸟（春天的样子）""}, {""name"": ""岚鸟（夏天的样子）""}, {""name"": ""岚鸟（秋天的样子）""}, {""name"": ""霜翼领主""}, {""name"": ""石冠王蜥（本来的样子）""}, {""name"": ""石冠王蜥（球球尾巴的样子）""}, {""name"": ""布克棱岩""}, {""name"": ""迷嶂布莱克""}, {""name"": ""奇丽花""}, {""name"": ""奇丽果""}, {""name"": ""卡瓦重（草地附近的样子）""}, {""name"": ""卡瓦重（沙地附近的样子）""}, {""name"": ""卡瓦重（雪山附近的样子）""}, {""name"": ""音速犬""}, {""name"": ""风暴战犬""}, {""name"": ""兽花蕾""}, {""name"": ""巨噬针鼹""}, {""name"": ""蒲公英娃娃""}, {""name"": ""瞌睡王""}, {""name"": ""朔夜伊芙""}, {""name"": ""翠顶夫人""}, {""name"": ""黑羽夫人""}, {""name"": ""记忆石""}, {""name"": ""罗隐""}, {""name"": ""巨灵石""}, {""name"": ""仪式巨像""}, {""name"": ""祭礼巨像""}, {""name"": ""影狸""}, {""name"": ""恶魔狼""}, {""name"": ""恶魔狼王""}, {""name"": ""雪巨人""}, {""name"": ""獠牙猪""}, {""name"": ""雪影娃娃""}, {""name"": ""雪影冰灵""}, {""name"": ""圣羽翼王""}, {""name"": ""针叶巡林""}, {""name"": ""游蛇魔使""}, {""name"": ""公平鸽""}, {""name"": ""怒目怂猫""}, {""name"": ""芋香巨角蛛""}, {""name"": ""斑枭""}, {""name"": ""卷毛鸭""}, {""name"": ""海豹船长""}, {""name"": ""卡洛儿""}, {""name"": ""棋骑士（白子）""}, {""name"": ""棋骑士（黑子）""}, {""name"": ""棋齐垒（白子）""}, {""name"": ""棋齐垒（黑子）""}, {""name"": ""棋祈督（白子）""}, {""name"": ""棋祈督（黑子）""}, {""name"": ""棋绮后（白子）""}, {""name"": ""棋绮后（黑子）""}, {""name"": ""棋契陛下""}, {""name"": ""酷拉""}, {""name"": ""迷迷箱怪""}, {""name"": ""寒音蛇（本来的样子）""}, {""name"": ""恶魔红钻""}, {""name"": ""烈火守护""}, {""name"": ""翼龙""}, {""name"": ""爵士鹿""}, {""name"": ""波普鹿""}, {""name"": ""声波缇塔""}, {""name"": ""圣代甜甜""}, {""name"": ""圣代甜甜（樱桃草莓口味）""}, {""name"": ""圣代甜甜（樱桃抹茶口味）""}, {""name"": ""圣代甜甜（蓝莓巧克力口味）""}, {""name"": ""圣代甜甜（蓝莓草莓口味）""}, {""name"": ""圣代甜甜（蓝莓抹茶口味）""}, {""name"": ""圣代甜甜（杨桃巧克力口味）""}, {""name"": ""圣代甜甜（杨桃草莓口味）""}, {""name"": ""圣代甜甜（杨桃抹茶口味）""}, {""name"": ""龙鱼""}, {""name"": ""火焰猿""}, {""name"": ""冰钻布鲁斯""}, {""name"": ""乌拉塔（极昼的样子）""}, {""name"": ""乌拉塔（极夜的样子）""}, {""name"": ""立方人""}, {""name"": ""绅士鸡""}, {""name"": ""武者鸡""}, {""name"": ""噼啪鸟""}, {""name"": ""混乱鱿彩""}, {""name"": ""秩序鱿墨""}, {""name"": ""铠甲虫""}, {""name"": ""圣剑-X""}, {""name"": ""圣剑骑士""}, {""name"": ""泥吼牙""}, {""name"": ""寂灭骨龙""}, {""name"": ""厉毒修萝""}, {""name"": ""龙息帕尔""}, {""name"": ""画间法师手""}, {""name"": ""画间沉铁兽""}, {""name"": ""古卷执政官""}, {""name"": ""古卷匣魔像""}, {""name"": ""绒仙子""}, {""name"": ""疾光千兽""}, {""name"": ""抹茶布丁""}, {""name"": ""椰浆布丁""}, {""name"": ""熔岩布丁""}, {""name"": ""月牙雪熊""}, {""name"": ""窃光蚊""}, {""name"": ""燃薪虫""}, {""name"": ""上岸蛙""}, {""name"": ""春花兔""}]"
