name,page_url,icon_url,attribute_icon_url,power,energy,category,attribute,effect,learned_by_pets,filters,source,detail_error
突袭,https://wiki.biligame.com/rocom/%E7%AA%81%E8%A2%AD,https://patchwiki.biligame.com/images/rocom/2/27/7f3o4janbtae1vbvr7aaigrkobbi56j.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,魔攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""魔攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
连续爪击,https://wiki.biligame.com/rocom/%E8%BF%9E%E7%BB%AD%E7%88%AA%E5%87%BB,https://patchwiki.biligame.com/images/rocom/4/42/hludk3r4u00mjji4fvr25cwxq1wih8u.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,物攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""物攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
追打,https://wiki.biligame.com/rocom/%E8%BF%BD%E6%89%93,https://patchwiki.biligame.com/images/rocom/c/c7/8hqd7xet1773chdmt1z9ebu85ym8zao.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,魔攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""魔攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
旋转突击,https://wiki.biligame.com/rocom/%E6%97%8B%E8%BD%AC%E7%AA%81%E5%87%BB,https://patchwiki.biligame.com/images/rocom/7/78/rvptw2pcdrwebq0hs3dslj1474iys8h.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,物攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""物攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
偷袭,https://wiki.biligame.com/rocom/%E5%81%B7%E8%A2%AD,https://patchwiki.biligame.com/images/rocom/3/31/rvptw2pcdrwebq0hs3dslj1474iys8h.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,物攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""物攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
乱打,https://wiki.biligame.com/rocom/%E4%B9%B1%E6%89%93,https://patchwiki.biligame.com/images/rocom/6/67/7de7a80ftpuo55uhjmp2608kjcwr4ad.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,魔攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""魔攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
乘胜追击,https://wiki.biligame.com/rocom/%E4%B9%98%E8%83%9C%E8%BF%BD%E5%87%BB,https://patchwiki.biligame.com/images/rocom/9/94/3fn8mi7s1ue8y2u09rlp87y72amdicv.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,物攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""物攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
阻断,https://wiki.biligame.com/rocom/%E9%98%BB%E6%96%AD,https://patchwiki.biligame.com/images/rocom/5/52/sttubxwost2fg8wo5tfg9b9jr49hdpn.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,魔攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""魔攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
穿膛,https://wiki.biligame.com/rocom/%E7%A9%BF%E8%86%9B,https://patchwiki.biligame.com/images/rocom/3/3b/osv75asggjobutbce6e8qmci3dhssb9.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,物攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""物攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
重击,https://wiki.biligame.com/rocom/%E9%87%8D%E5%87%BB,https://patchwiki.biligame.com/images/rocom/2/2d/r48g0te73oht8fy7wo5tdj1p12lnfqc.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,物攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""物攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
魔能爆,https://wiki.biligame.com/rocom/%E9%AD%94%E8%83%BD%E7%88%86,https://patchwiki.biligame.com/images/rocom/a/a9/1a672982nbhah9xcxla6um13j4g1kgz.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,魔攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""魔攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
垂死反击,https://wiki.biligame.com/rocom/%E5%9E%82%E6%AD%BB%E5%8F%8D%E5%87%BB,https://patchwiki.biligame.com/images/rocom/b/bf/7188q718rdxjwqtjcnj4ytsnecqa7ue.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,物攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""物攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
能量刃,https://wiki.biligame.com/rocom/%E8%83%BD%E9%87%8F%E5%88%83,https://patchwiki.biligame.com/images/rocom/f/f7/4tu3v2mwcca743aserrwwsfu2ry2rde.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,物攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""物攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
气势一击,https://wiki.biligame.com/rocom/%E6%B0%94%E5%8A%BF%E4%B8%80%E5%87%BB,https://patchwiki.biligame.com/images/rocom/d/d9/trxlait2icvwlii9lm1x3bf4wh0h7ms.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,物攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""物攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
吞噬,https://wiki.biligame.com/rocom/%E5%90%9E%E5%99%AC,https://patchwiki.biligame.com/images/rocom/b/b3/majigkf8rvwhsdljsy5tli2t1p2msgl.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,物攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""物攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
蓄能轰击,https://wiki.biligame.com/rocom/%E8%93%84%E8%83%BD%E8%BD%B0%E5%87%BB,https://patchwiki.biligame.com/images/rocom/b/be/llrw5jn7h1beckkbk96stxbtlsq2bba.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,魔攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""魔攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
力量增效,https://wiki.biligame.com/rocom/%E5%8A%9B%E9%87%8F%E5%A2%9E%E6%95%88,https://patchwiki.biligame.com/images/rocom/0/03/kqkpuxytz7mjs3n3o6zn8pklqd0stll.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,状态,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""状态"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
魔法增效,https://wiki.biligame.com/rocom/%E9%AD%94%E6%B3%95%E5%A2%9E%E6%95%88,https://patchwiki.biligame.com/images/rocom/9/91/ccs5zv2xagec1cs05nqh09in7524vco.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,状态,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""状态"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
休息回复,https://wiki.biligame.com/rocom/%E4%BC%91%E6%81%AF%E5%9B%9E%E5%A4%8D,https://patchwiki.biligame.com/images/rocom/c/c1/jano9wuttu2xsegfr835gmxxtxh54us.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,状态,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""状态"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
聒噪,https://wiki.biligame.com/rocom/%E8%81%92%E5%99%AA,https://patchwiki.biligame.com/images/rocom/5/57/gstfh6wxby4ed5ggyvtveecbzszgmga.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,状态,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""状态"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
激怒,https://wiki.biligame.com/rocom/%E6%BF%80%E6%80%92,https://patchwiki.biligame.com/images/rocom/3/30/pp49lmegm9cmvv79oz7lvaw0h9r6q3m.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,状态,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""状态"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
咆哮,https://wiki.biligame.com/rocom/%E5%92%86%E5%93%AE,https://patchwiki.biligame.com/images/rocom/c/c7/t1ly3hwtrko455661zykdxk08sn32kp.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,状态,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""状态"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
锐利眼神,https://wiki.biligame.com/rocom/%E9%94%90%E5%88%A9%E7%9C%BC%E7%A5%9E,https://patchwiki.biligame.com/images/rocom/4/4f/5oz1cqwgseng60hqqtrf95lno0abhgz.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,状态,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""状态"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
快速移动,https://wiki.biligame.com/rocom/%E5%BF%AB%E9%80%9F%E7%A7%BB%E5%8A%A8,https://patchwiki.biligame.com/images/rocom/e/e6/pvc3oiw47yx4rl5skzm8ag7knivbm5w.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,状态,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""状态"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
伺机而动,https://wiki.biligame.com/rocom/%E4%BC%BA%E6%9C%BA%E8%80%8C%E5%8A%A8,https://patchwiki.biligame.com/images/rocom/c/ce/o8pu85s36u0d8o1gofsjqoxdxsgvhoh.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,状态,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""状态"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
主场优势,https://wiki.biligame.com/rocom/%E4%B8%BB%E5%9C%BA%E4%BC%98%E5%8A%BF,https://patchwiki.biligame.com/images/rocom/5/5e/5uaxsr42trhms21n5gptkhbdgntso52.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,状态,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""状态"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
操控,https://wiki.biligame.com/rocom/%E6%93%8D%E6%8E%A7,https://patchwiki.biligame.com/images/rocom/7/79/mjs772jnvrv9hn1b65lknl2tyzzma35.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,状态,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""状态"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
应激反应,https://wiki.biligame.com/rocom/%E5%BA%94%E6%BF%80%E5%8F%8D%E5%BA%94,https://patchwiki.biligame.com/images/rocom/f/fc/9p3lluctc0oqi335qby11vhzqdo3zki.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,状态,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""状态"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
棘刺,https://wiki.biligame.com/rocom/%E6%A3%98%E5%88%BA,https://patchwiki.biligame.com/images/rocom/f/fb/bklgf0tt9kxbm7hhif3m2d43at3cbes.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,状态,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""状态"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
精神扰乱,https://wiki.biligame.com/rocom/%E7%B2%BE%E7%A5%9E%E6%89%B0%E4%B9%B1,https://patchwiki.biligame.com/images/rocom/9/9c/9sp9n7fjbbkqprmhvny5tyfoia8uwto.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,状态,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""状态"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
退化,https://wiki.biligame.com/rocom/%E9%80%80%E5%8C%96,https://patchwiki.biligame.com/images/rocom/f/fb/aqzrftu1f03zi8yqtcjb1m6qo4h9lpv.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,状态,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""状态"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
防御,https://wiki.biligame.com/rocom/%E9%98%B2%E5%BE%A1,https://patchwiki.biligame.com/images/rocom/4/40/d5m527azmrkdmrdvfnayi157ossqe5a.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,防御,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""防御"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
防反,https://wiki.biligame.com/rocom/%E9%98%B2%E5%8F%8D,https://patchwiki.biligame.com/images/rocom/e/e0/c606sqa07y5tujdp1eumt76561qggo8.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,防御,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""防御"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
血气,https://wiki.biligame.com/rocom/%E8%A1%80%E6%B0%94,https://patchwiki.biligame.com/images/rocom/e/e4/hr61yqhepb8fb3eqm6rdr12grfgwuh0.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,防御,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""防御"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
无畏之心,https://wiki.biligame.com/rocom/%E6%97%A0%E7%95%8F%E4%B9%8B%E5%BF%83,https://patchwiki.biligame.com/images/rocom/6/67/mtsvwcsxgn96a0q51hp7mujdngp3jz2.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,防御,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""防御"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
借用,https://wiki.biligame.com/rocom/%E5%80%9F%E7%94%A8,https://patchwiki.biligame.com/images/rocom/0/0e/nh7e53mds21njmjq0qrf8mskxobmuhu.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,状态,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""状态"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
取念,https://wiki.biligame.com/rocom/%E5%8F%96%E5%BF%B5,https://patchwiki.biligame.com/images/rocom/3/31/ag032vsj7ieb4jbt3sx3w9adisv97a0.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,状态,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""状态"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
